id,title,imdb_id,tmdb_id,plot,genres,themes
16637,102 Not Out,tt6580564,460713,"Dhiru (Jimit Trivedi) is an employee at the nearby pharmacy who delivers medicines at the Vakharias' residence. Dattatraya's goal is to break the record of the oldest living person on Earth which is held currently by a Chinese man. He must live for 16 more years to accomplish his goal but has to stay away from negative-minded people for maintaining his health to live that long. Dattatraya agrees to not send Babulal to the old age home on a condition that Babulal must fulfill certain conditions, which his father would impose on him on a regular basis. The conditions imposed on Babulal by his father changes his way of looking at life. The first condition is that Babulal must write a love letter to his deceased wife, Chandrika. In the second condition, Dattatraya visits Babulal's regular doctor with Babulal and Dhiru, forcing Babulal to accuse the doctor of theft. Babulal accepts the condition to stop visiting the doctor's clinic daily without accusing him of theft. Dattaraya informs Dhiru that he and Babulal regularly visited the garden in Babulal's childhood, and that Babulal and his estranged son, Amol (Dharmendra Gohil), regularly visited the church for prayers. Babulal also completes the third condition of cutting holes in his childhood blanket and begins seeing life in a jovial way just like his father, leading a delighted Dattatraya to find it easier to complete his mission. On Babulal's birthday, Amol contacts him but Dattaraya, who considers Amol as a bad influence for Babulal, does not answer the phone call and also does not inform Babulal about it. The same day, the flowers sent by Amol are also intercepted by Dattaraya and not handed over to Babulal. Amol contacts again at night but once again Dattaraya does not inform Babulal about it, and deletes the call history from Babulal's cellphone. Amol informs him about the two missed calls and that he is arriving in India the next month. Despite this, Babulal still informs Dattaraya that he will not follow his last condition, and even Dhiru supports him for the first time, believing that Amol should be given a second chance. The old age home and breaking that record was just a ruse because he wished for his son to get rid of his negative approach to life. Dattatraya even tells Babulal to blow a whistle when he dies, to celebrate his outstanding feat, 102 years. Dhiru presents a recorded tape to Babulal with a message that Dattaraya had recorded two days before death. In that message, Dattaraya states that he is sitting in a cloud with the same Chinese man besides him. He is telling the man that the record of the longest living person on Earth will be broken by his son, Babulal, himself after another 43 years.",['drama film'],[]
6617,10 Cloverfield Lane,tt1179933,333371,"A young woman named Michelle wakes up chained in a bunker after an argument with her fiancé, only to discover that he has taken her there to save her life due to toxic air outside. As they try to escape together, tensions rise and Michelle's true identity is revealed. With the help of her skills, Michelle outsmarts Howard and escapes, fleeing from a biomechanical alien craft in his truck. She sets out for Houston, seeking help from those with medical or combat training.","['action film', 'disaster film', 'drama film', 'fantasy film', 'horror film', 'science fiction film', 'thriller film']","['Battling against all odds', 'Escape and freedom', 'Facing an uncertain future', 'Fleeing for survival', 'Questioning loyalty', 'Uncovering the truth']"
16977,10DANCE,tt34762360,1400032,"Shinya Sugiki is a talented ballroom dance champion in standard dances, while his namesake, Shinya Suzuki is a Latin dance champion in Japan. The two consider each other rivals, but surprisingly, Sugiki asks Suzuki that the two pairs train together to learn from each other, in preparation for the international 10Dance competition, where both the five standard and five Latin dances need to be performed by the contestants. During their steamy practice sessions, the two men begin to fall in love.","['BL', 'drama film', 'romance film']",[]
17121,10 Days of a Bad Man,tt24852002,1074262,N/A,[],[]
16964,10 Days of a Curious Man,tt28713370,1169361,N/A,"['detective film', 'drama film']",[]
16543,10 Days of a Good Man,tt23334464,1073337,N/A,[],[]
16588,10 Hours for Christmas,tt10806050,714511,N/A,[],[]
2550,10 Items or Less,tt0499603,2357,"A Hollywood actor, fresh from his last role, visits a supermarket as research for a potential film part. He befriends the cashier Scarlet, who is struggling to move on from her recent breakup. The actor helps Scarlet find confidence, and in return, she helps him see the city's hidden gems.","['comedy drama', 'comedy film']","['Binge-watching inspiration', 'Cinematic connection', 'City exploration', 'Feel-good self-improvement', 'Fresh start motivation', 'Personal growth journey', 'Small-town charm', 'Supportive relationships']"
3748,10 jours encore sans maman,tt16983432,898994,N/A,['comedy film'],[]
3359,10 jours en or,tt1729630,83390,N/A,['comedy drama'],[]
3750,10 jours sans maman,tt10251538,605735,N/A,['comedy film'],[]
3056,10 Minutes Gone,tt8809652,552865,"Frank Sullivan, a skilled bank robber, wakes up with no memory of the heist that killed his brother. With his boss Rex breathing down his neck, Frank must navigate a complex web of loyalty and deception to uncover the truth and save himself.",['independent film'],"['Deadly cat-and-mouse chase', 'Desperate measures', 'High-stakes game night', 'Loyalty tested', 'Redemption quest', 'Surviving the consequences', 'The price of loyalty', 'Uncovering dark secrets']"
16640,10 Nahi 40,tt7705476,989114,This educational film aims to send a message to society about the importance of understanding and caring for the elderly. It highlights their insecurities and fears as they approach the twilight of their lives. The story is set in a residential society where both old and young people live together.,['drama film'],[]
14564,10 regole per fare innamorare,tt2100371,106942,"A womanizing father tries to reconnect with his clumsy son by teaching him the 'Decalogue of Seduction'. As they embark on a journey to help their friend, they navigate love and relationships. The film explores themes of masculinity, vulnerability, and the complexities of human connection. A heartwarming yet humorous exploration of love and family.",['romantic comedy'],"['Father-son bonding', 'Humorous take on masculinity', 'Love and relationships', 'Nostalgic charm', 'Redemption through connection', 'Self-discovery']"
7434,10 Rillington Place,tt0066730,26234,"A series of gruesome murders takes place in 1940s London, as a seemingly innocent man is accused and executed for the crimes. As the investigation unfolds, dark secrets about his past come to light, revealing a cunning killer at work. The case becomes a sensational trial, forcing the public to confront the harsh realities of justice and morality. A chilling exploration of the darker side of human nature.","['biographical film', 'crime film', 'drama film', 'film based on book']","['A chilling tale of deception', 'A descent into madness', 'Consequences of playing with fire', 'Desperate measures', 'Guilt and redemption', 'The blurred lines between good and evil', 'The darker side of human nature']"
16815,10 Rules for Sleeping Around,tt1993391,216138,"The film is about two couples whose sexual escapades land them in a tangle of lies. By following ten simple rules, 20-somethings Vince and Cameron spice up their relationship by sleeping around. But when their straitlaced friends get engaged, their relationship gets turned upside down.",['romantic comedy'],[]
12511,10 Things I Hate About You,tt0147800,4951,"Cameron falls for Bianca, but their relationship is complicated by her father's rules. Bianca must choose between Cameron and Joey, while also learning to stand up for herself. Kat tries to get attention from Patrick, but their romance gets messy. In the end, Kat confesses her feelings, and they reconcile.","['comedy drama', 'coming-of-age film', 'romantic comedy', 'teen film']","['Family Expectations', 'Friendship and Loyalty', 'High School Drama', 'Love Conquers All', 'Love vs Social Status', 'Romantic Entanglements', 'Self-Discovery Journey', 'Teenage Angst']"
12108,10 to Midnight,tt0085121,18587,"A young office repairman with a dark past stalks and murders women who reject his advances, leading a seasoned detective on a cat-and-mouse chase. As the body count rises, the detective's own life is threatened, forcing him to confront his own demons. In a shocking twist, the detective's own family becomes entangled in the killer's twisted game.","['action film', 'crime film', 'slasher film', 'thriller film']","['Chase and Pursuit', 'Dark Obsession', 'Desperate Measures', 'Family Ties', 'Fatal Confrontation', 'Trapped', 'Vigilante Justice']"
2576,10x10,tt6210996,505177,"A man kidnaps a woman and holds her captive in a soundproof room, but she fights back, leading to a cat-and-mouse game of psychological and physical struggle. The story unfolds as the captor's motivations are revealed, taking unexpected turns that keep viewers on edge. Cathy's resilience is tested, while Lewis' grip on reality begins to slip. As tension escalates, the truth about the characters and their ordeal is slowly uncovered.",['thriller film'],"['Blurring Reality', 'Emotional Turmoil', 'Fight for Survival', 'Psychological Cat-and-Mouse', 'Revenge and Retribution', 'Tense Showdown', 'Uncovering the Truth', 'Unsettling Atmosphere']"
14065,11-11-11,tt1712159,51248,"Joseph's life is shaken after the tragic loss of his wife and son, leading him to question God's existence. He becomes entangled in a mysterious series of events in Barcelona, where he uncovers a dark plot involving demonic forces and a charismatic leader named Samuel.","['horror film', 'thriller film']","['Confronting evil', 'Desperate prayers', 'Miracles and faith', 'Protecting loved ones', 'Uncovering the truth', 'Visions of the past']"
14612,1½ Knights – In Search of the Ravishing Princess Herzelinde,tt1187047,9510,"In medieval Europe, a kidnapped princess must be rescued by her bodyguard and an unlikely ally. Their perilous journey is disrupted by various encounters, while they uncover a sinister plot within the royal family.","['comedy film', 'medieval film']","['Cultural exchange', 'Food for thought', 'Perilous journey', 'Redemption arc', 'Revenge and justice', 'Royal intrigue', 'Self-discovery', 'Unlikely friendships']"
3211,11.6,tt2655788,182246,"Toni Musulin, a master thief, orchestrates an audacious heist without using guns. He recruits a team to help him steal millions from various banks across France. The plan unfolds with meticulous precision and cunning. But as the crew executes the daring caper, they begin to face unexpected obstacles.","['drama film', 'heist film', 'thriller film']","['A cat-and-mouse game', 'Consequences of a daring feat', 'Cunning plan unfolds', 'High-stakes gamble', 'Morally ambiguous characters', 'Perfection and precision', 'Teamwork and loyalty tested', 'The thrill of the chase']"
16521,11 Rebels,tt33367745,1310682,"The Shibata clan's historic betrayal in Niigata occurred during the intense Boshin War, Japan's most ferocious conflict. The story follows an 11-member suicide squad on a desperate mission to defend a fortress. As the Shibata clan, the old shogunate, and the new government clash, their heroic struggle unfolds.","['action film', 'historical drama film']",[]
5359,121: Overcoming Drug Addiction by Faith,tt14221692,806417,N/A,[],[]
17084,122,tt7867670,512959,"The film that follows the story of Nasr (Ahmed Dawood) and Omnia (Amina Khalil) who are in love, they're married as well. The problem is since they couldn't afford a proper wedding they snuck off and eloped. They are trying to keep their marriage a secret until they can afford it. Unfortunately, Omnia has become pregnant, something scandalous for an unmarried woman in their culture. In order to come up with the money quickly, Nasr returns to his shady past, agreeing to transport a package of drugs for an old associate. Omnia insists on coming along. Their car gets hit by a bus and they wake up in intensive care in what appears to be a hospital in the middle of nowhere. The couple faces a catastrophe there, and attempt to escape and run for their lives.",['horror film'],[]
717,125,tt0052528,71323,N/A,"['crime film', 'film noir']",[]
15596,125 Years Memory,tt3512072,402455,N/A,"['drama film', 'historical film']",[]
7503,127 Hours,tt1542344,44115,"Aron Ralston, an avid mountaineer, becomes trapped in a canyon when a boulder pinches him against the wall. With no phone signal, he must ration food and water, and use makeshift tools to survive for five days until he amputates his own arm to free himself.","['biographical film', 'docudrama', 'drama film', 'film based on book', 'independent film', 'survival film']","['Binge-watching inspiration', 'Escape and survival', ""Nature's power"", 'Self-reliance and determination', 'Thrilling rescue mission', 'Tough love story']"
6603,12 Angry Men,tt0050083,389,"A young boy accused of killing his abusive father faces a seemingly clear trial, but one juror's reasonable doubt sparks an investigation into the testimony and evidence.","['drama film', 'huis-clos film', 'trial film']","['Emotional trial', 'Rethinking justice', 'Seeking the facts', 'The power of doubt', 'Uncovering truth', 'Unlikely acquittal', 'Witness testimony']"
15348,12 Citizens,tt3431598,299117,"A group of law students participate in a mock jury trial, convinced by the evidence against a young man accused of murder. One juror questions the verdict, sparking a re-examination of the case and conflicts among the jurors. Their differing personalities and opinions lead to a surprising outcome. The true identity of the perpetrator is eventually revealed.","['crime film', 'drama film']","['Character Development', 'Conflict Resolution', 'Intellectual Puzzle', 'Re-examination', 'Social Commentary', 'Unlikely Hero']"
5276,12 Dates of Christmas,tt1846442,81393,"Kate relives Christmas Eve over and over, trying to win back Jack, but each day's attempts lead her closer to realizing she needs to move on. As she navigates multiple timelines, Kate must confront her past and her own desires. Along the way, she meets Miles, a blind date who becomes a potential love interest. Ultimately, Kate learns to let go of her obsession with Jack and find happiness in unexpected places.",['Christmas film'],"['Embracing Imperfection', 'Finding Happiness in Unexpected Places', 'Holiday Magic', 'Redemption Day', 'Second Chance Romance', 'The Power of Letting Go']"
662,12 Days,tt6777114,452221,"A patient at a psychiatric hospital is involuntarily committed after refusing treatment, and they must be re-evaluated by a judge in 12 days. The hospital's strict rules are put to the test as the patient navigates their situation. As the deadline approaches, the patient's fate hangs in the balance. The film explores themes of autonomy and control.",['documentary film'],"['Binge-watching marathon', 'Confinement and freedom', 'High-stakes suspense', 'Mental Health Awareness Week', 'Patient advocacy', 'Psychological thriller', 'Theatre of the Absurd']"
11320,12 Dogs of Christmas,tt0405615,26985,N/A,['Christmas film'],[]
8869,12 Dogs of Christmas: Great Puppy Rescue,tt2325491,135675,N/A,[],[]
3295,12 Feet Deep,tt5143226,459928,"Two sisters, struggling with their abusive past, are left trapped in an Olympic-sized pool by a manipulative thief who steals their belongings. As they fight for survival, they confront their dark memories and ultimately find the strength to take revenge on their tormentor.","['drama film', 'thriller film']","['Confronting Dark Memories', 'Dark Past Meets Present', 'Female Bonding', 'Fight for Survival', 'Power of Self-Discovery', 'Struggle for Empowerment', 'Taking Revenge', 'Trapped and Isolated']"
16697,12 Gifts of Christmas,tt5133810,363483,A personal Christmas shopper from New York City is hired by a busy marketing executive for buying gifts for his friends and family.,['Christmas film'],[]
5223,12 Men of Christmas,tt1446201,42556,"A publicist's life unravels after a shocking discovery at the office Christmas party, prompting her to take a job in Kalispell, Montana, where she teams up with a search and rescue team to create a lucrative calendar, leading to unexpected relationships and career opportunities.","['Christmas film', 'romantic comedy']","['Career Transition', 'Community Building', 'Local Economy', 'New Beginnings', 'Personal Relationships', 'Professional Growth', 'Self-Discovery Journey', 'Small Town Charm']"
14243,12 Mighty Orphans,tt8482584,625169,"During the Great Depression, a war veteran coaches a team of orphaned boys at a Texas home, using innovative strategies to help them overcome physical limitations and find purpose. The team faces numerous challenges, including abuse from the home's warden, but ultimately inspires a nation in need of hope. With the support of a compassionate physician, Rusty forms a sense of unity among the players and helps them gain attention for their unique playing style. The team's journey is marked by perseverance and determination, even in the face of defeat.",['American football film'],"['Building Community', 'Finding Purpose', 'Mentorship and Leadership', 'Overcoming Adversity', 'Redemption through Sports', 'Underdog Story']"
12509,12 Monkeys,tt0114746,63,"A deadly virus wipes out humanity in 1996, and survivors live underground. A man named Cole is sent back in time to find the original virus to help develop a cure. He encounters a mental patient who may be connected to the Army of the 12 Monkeys.","['dystopian film', 'neo-noir', 'post-apocalyptic film']","['Danger in the Past', 'Government Conspiracy', 'Questioning Reality', 'Scientific Discovery', 'The Power of Time Travel', 'Twist Ending', 'Unreliable Narrators']"
16318,12 Months in 1 Day,tt4379826,321297,N/A,['drama film'],[]
712,12 Rounds,tt1160368,17134,"A former arms dealer challenges a detective to a deadly game of wits, but the stakes quickly escalate into a sinister plot to rob a US mint. The game becomes a cat-and-mouse chase as the detective unravels the truth behind his opponent's true intentions. A thrilling game of survival ensues. The detective must use all his skills to stay one step ahead.","['action film', 'crime film', 'thriller film']","['Cat-and-mouse game', 'Danger lurking beneath the surface', 'Deception and misdirection', 'High-stakes challenge', 'Racing against time', 'Thrilling suspense', 'Twists and turns', 'Uncovering the truth']"
8870,12 Strong,tt1413492,429351,"In the aftermath of 9/11, US Army Captain Mitch Nelson volunteers to lead a special forces team into Afghanistan to fight against the Taliban. He forms an unlikely alliance with warlord Abdul Rashid Dostum, and together they launch a series of operations against the enemy. As the battle rages on, Nelson must confront his own doubts and the harsh realities of war. The team's bravery and sacrifice ultimately lead to a decisive victory.","['action film', 'drama film', 'war film']","['Buddy Banditry', 'Global Conflict', 'Heroic Sacrifice', 'High-Stakes Mission', 'Redemption Quest', 'Unlikely Alliances', 'Warrior Camaraderie']"
13405,12th Man,tt3300980,435577,"A Norwegian resistance fighter named Jan Baalsrud escapes from German capture after a fishing boat mission goes awry. He faces extreme physical trials and hardship as he swims across icy fjords. Assisted by locals, Baalsrud evades capture and eventually reaches safety in Sweden.",['biographical film'],"['Binge-watching marathon', 'Dramatic twists and turns', 'Emotional escape from danger', 'Heart-pumping action sequences', 'Historical true story', 'Intense survival struggles', 'Tense suspenseful moments', 'Uplifting tale of bravery']"
12483,12 Years a Slave,tt2024544,76203,"A free black man is kidnapped and sold into slavery, forcing him to adapt to a harsh new reality. He finds solace in music and forms connections with fellow slaves, but ultimately escapes back to freedom. His story becomes a powerful abolitionist voice, sparking change and justice for himself and others. The journey is marked by cruelty, resilience, and the unbreakable human spirit.","['biographical film', 'drama film', 'film based on book']","['Breaking free from oppression', 'Hope in darkness', 'Justice sought', 'Rebellion', 'Redemption', 'Survival', 'The power of the human spirit']"
10390,13,tt0798817,44982,"Ferro participates in a deadly game where players are forced to kill each other for a large cash prize. He must use his wits and cunning to survive against ruthless opponents. As Ferro progresses through the rounds, he forms alliances and makes deals with others, but ultimately faces off against Jasper Bagges in a final showdown. Ferro emerges victorious, collecting his winnings but not before being shot by Jasper on the way home.","['drama film', 'psychological thriller film']","['Deadly game night', 'High stakes gamble', 'Life or death challenges', 'Morally ambiguous characters', 'Revenge and betrayal', 'Survival of the fittest', 'Twist ending', 'Unpredictable twists']"
16824,13,tt3975918,673271,"Evan Goldman is forced to move from New York City to his grandmother's house in Walkerton, Indiana, when his parents go through a divorce (""Thirteen""). He befriends the next door neighbor, Patrice (""The Lamest Place in the World""), and her friend Archie, who uses a wheelchair. Faced with his upcoming Bar Mitzvah, Evan aims to befriend the popular kids at his new school, led by football star Brett Sampson and head cheerleader, Kendra Duncan, but this alienates him from Patrice, who is considered a dork by the popular kids and sees Evan wanting to befriend them as a betrayal. Things aren't better at home, with Evan resenting both his parents for the divorce and move and his mother Jessica lamenting giving up her writing career for her marriage, only for it to fail anyway. Brett and Kendra both have feelings for each other and want to share their first kiss together (""I've Been Waiting""), but Kendra's best friend Lucy Hallman also likes Brett, and is fed up with always being outshone by Kendra (""Opportunity""). When Evan comes up with a plan to trick Kendra's overbearing mother and get her and Brett on a date to the movies (""The Bloodmaster""), Lucy threatens him to prevent the two from kissing or she will get everyone to boycott Evan's party. To prevent the kiss without angering Brett directly, Evan recruits Archie, who has a huge crush on Kendra, to sit next to her at the movies to ruin the mood. Archie is fine with this, despite knowing Evan is using him (""Getting Ready""), but Patrice learns and calls Kendra's mother with the truth, causing her to storm in and ruin the date. This backfires on her when such an act alienates her from both Archie and Evan, who is blamed and shunned. Lucy makes her move and kisses Brett, claiming him as her boyfriend. Lucy proves to be a clingy overbearing girlfriend to Brett, whose friends pity his sad state (""Bad Bad News""). Evan and Jessica reconcile over the disappointing turns their lives have taken (""It Would Be Funny""), and Evan finally calls his father, who apologizes and encourages him to fix his mistakes. He convinces Brett to apologize to Kendra, with help from Patrice (""Tell Her""). Brett and Kendra reconcile, and he dumps Lucy. Evan and Patrice apologize to each other, and Evan asks her to come to his Bar Mitzvah. The morning of the party, Patrice is convinced to forgive Evan by a gift Evan leaves at her house, and goes to the service, which is also attended by Brett and Kendra and their friends, including Lucy, who apologizes and makes up with Kendra. Evan completes his service, and everyone sings that they have ""A Little More Homework to Do"" while flashes show Jessica and Evan moving into a house of their own, Evan being friends with both Brett and Kendra, and Patrice and Archie with understanding on both sides, Jessica resuming her writing career, and Archie getting a new crush. The whole cast has an epic party afterwards, with a performance of ""A Brand New You"".","['comedy film', 'musical film', 'teen film']",[]
10687,13 Assassins,tt1436045,58857,"In feudal Japan, a samurai named Shimada Shinzaemon is hired to assassinate Naritsugu, who has offended many lords and will soon ascend to the Shogunate Council. The assassination plot unfolds with 13 samurai ambushing Naritsugu in the town of Ochiai. A bloody battle ensues, resulting in the death of Naritsugu and several of his retainers. Shinzaemon ultimately kills Hanbei, who had betrayed him, before succumbing to his wounds.","['action film', 'drama film', 'samurai cinema']","['A journey to atone for mistakes', 'A quest for honor and justice', 'A tale of loyalty and duty', 'Bloodshed and violence', 'Loyalty and betrayal', 'Redemption through sacrifice', 'The cost of ambition', 'The weight of past wrongs']"
4941,13 Beloved,tt0883995,13436,"A struggling salesman must play an obscure game to win 10,000 baht, but the stakes are high: quit or be killed by his abusive father. As he recalls his painful past, a friend discovers the game's dark truth and tries to intervene.",['comedy horror'],"['Binge-watching thriller night', 'Dark fantasy marathon', 'Emotional rollercoaster', 'Family secrets revealed', 'Obsessive behavior explored', 'Revenge and consequence', 'Toxic relationships exposed', 'Tragic downfall']"
97,"13 Days, 13 Nights",tt28291010,1254135,"As U.S. forces withdraw from Afghanistan, a French commander must navigate treacherous negotiations with the Taliban to secure safe passage for 2,800 refugees trapped in the French Embassy.","['action film', 'biographical film', 'drama film', 'war film']","['Diplomatic tension', 'Escape and survival', 'Geopolitical intrigue', 'Humanitarian crisis', 'Racing against time']"
7433,13 Eerie,tt2082152,122369,"Six forensic undergrads are sent to a deserted island for a scientific field exam, but they soon discover that one of the corpses is actually alive and starts attacking them. As the group tries to survive and find a way off the island, they realize that they are trapped with no way to communicate or escape.","['horror film', 'zombie film']","['Bloodlust', 'Desperate Measures', 'Falling Apart', 'Last Chance to Escape', 'The Undead Among Us', 'Trapped and Terrified']"
14444,13 Exorcisms,tt21199996,1026563,"A teenage girl's erratic behavior after a séance prompts her devoutly Catholic family to call an exorcist, who must perform an ancient ritual to purge the demon from Laura's body.","['horror film', 'thriller film']","['Catholic guilt', 'Confronting the supernatural', 'Desperation for help', 'Family dynamics under pressure', 'Fear of the unknown', 'Mental health concerns', 'Respect for tradition', 'The blurred lines between faith and fear']"
5360,13 Fanboy,tt9077876,582292,"A young woman traumatized by a childhood murder witnesses a series of killings mimicking classic horror movie scenes, forcing her to confront the killer and find justice.",['slasher film'],"['Action-packed thrill ride', 'Binge-watching marathon', 'Campy horror parody', 'Copycat killer', 'Revenge and justice', 'Spooky Halloween', 'Traumatic past']"
7436,13 Ghosts,tt0053559,29756,"A wealthy occultist leaves his house to his nephew and his family, but with a dark twist: it's haunted by 12 ghosts that only they can see. As they try to uncover the secrets of the mansion, they must also evade the killer who's hiding in plain sight.","['ghost film', 'horror film', 'mystery film', 'supernatural horror film']","['Creepy Mansion', 'Deadly Inheritance', 'Haunting Family Ties', 'Secrets and Lies', 'Spirits of Revenge', 'Stuck with Ghosts', 'Surviving the Paranormal']"
12044,13 Going on 30,tt0337563,10096,"A 13-year-old girl makes a wish to be 'thirty and flirty and thriving' after feeling humiliated by her crush, waking up 17 years later as a successful adult with no memory of the intervening years. She reunites with her childhood best friend and learns she's become someone she doesn't recognize. With help from her friend, she discovers the truth about her past and sets things right before finding true love.","['coming-of-age film', 'fantasy film', 'romantic comedy film', 'teen film']","['Binge-watching marathon', 'Feel-good movie night', 'Love conquers all', 'Redemption and forgiveness', 'Second chances', 'Spontaneous self-improvement']"
7431,13 Graves,tt0758726,327478,N/A,['drama film'],[]
8871,13 Hours: The Secret Soldiers of Benghazi,tt4172430,300671,"In 2012, Ambassador Stevens arrives in Benghazi to maintain diplomatic connections despite warnings. A group of militants attacks the CIA compound, leading to a desperate fight for survival. The GRS team fends off the attack, but not before Woods and Doherty are killed. The remaining operators prepare for a final stand, only to discover reinforcements have arrived to escort them to safety.","['action film', 'drama film', 'film based on book', 'thriller film', 'war film']","['Betrayal and Deception', 'Danger and Survival', 'Desperation and Heroism', ""Hero's Last Stand"", 'Loyalty and Sacrifice', 'Power Struggle', ""War's Human Cost""]"
16510,13 Minutes,tt9274670,787723,"Four families in the fictional Oklahoma town of Minninnewah, whose lives are intertwined, wrestle with undocumented immigration, closeted homosexuality, abortion, and other issues before a massive tornado wipes out the town, leaving death and destruction in its path. Following the devastation, the community deals with death and new beginnings.",[],[]
1940,13 Minutes,tt1708135,319337,"A German man attempts to assassinate Adolf Hitler by planting a homemade bomb at a Munich beer hall, but it fails to kill him and he's caught and tortured into revealing his motives. He insists he acted alone, but is still suspected of conspiracy. Elser is imprisoned for five years before being executed just days after the war ends. His actions are later hailed as heroic efforts to resist the Nazis.","['biographical film', 'drama film', 'war film']","['Heroism in the face of adversity', 'Redemption through sacrifice', 'Resistance against oppression', 'The human cost of war', 'The power of individual action', 'The struggle for justice', 'Tragic heroism', 'Uncovering the truth']"
2434,13 Sins,tt2059171,155084,"Elliot participates in a mysterious game where each challenge pushes him further into darkness. As he struggles to complete the game, Elliot uncovers disturbing secrets about those behind it.","['comedy horror', 'thriller film']","['Binge-Worthy Plot Twist', 'Descent into Madness', 'Emotional Rollercoaster', 'Mind-Bending Mystery', 'Revenge and Consequences', 'Social Commentary', 'Twisted Reality', 'Unsettling Atmosphere']"
7421,1408,tt0450385,3021,"A writer challenges a hotel's notorious room 1408 after receiving an ominous postcard, only to find himself trapped in a supernatural loop of horrors and visions from his past. He tries to escape, but the room seems determined to keep him. As he struggles to survive, Mike's grip on reality begins to slip. Will he ever be able to break free?","['drama film', 'film based on literature', 'ghost film', 'horror film', 'psychological horror', 'thriller film']","['Binge-watching marathon', 'Confronting darkness', 'Desperate survival', 'Freaky atmosphere', 'The power of the mind', 'Visions of the past']"
4439,1492 – Conquest of Paradise,tt0103594,1492,"Christopher Columbus embarks on a perilous journey westward in search of Asia, but discovers the Americas instead. He forms alliances with native tribes and establishes a colony, only to face resistance and violence from rival factions. As tensions escalate, Columbus must navigate treacherous politics and confront his own demons. The fate of the New World hangs in the balance.","['adventure film', 'biographical film', 'drama film', 'historical film']","['Ambition and greed', 'Cultural clashes', 'Faith vs. Doubt', 'Leadership and legacy', 'Power struggles', 'Revenge and justice', 'Survival at sea', 'Tribal conflicts']"
7430,14 Cameras,tt7476438,534235,N/A,[],[]
3289,14 jours pour aller mieux,tt29007338,1118841,N/A,['comedy film'],[]
